001398 - 001400|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001398-001400)%20Gendreau%20302.pdf","(001398-001400) Gendreau 302.pdf")|2017-01-01|pdf|||||
|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001401)%20Gendreau%20Advice%20of%20Rights.pdf","(001401) Gendreau Advice of Rights.pdf")|2017-01-01|pdf|||||
|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001402)%20Gendreau%20Consent%20to%20Search.pdf","(001402) Gendreau Consent to Search.pdf")|2017-01-01|pdf|||||
|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001403)%20Gendreau%20Post%20Arrest%20Statements/Gendreau_Interview.001.wav","Gendreau_Interview.001.wav")|2017-01-01|wav|||||
|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001403)%20Gendreau%20Post%20Arrest%20Statements/Gendreau_Interview.002.wav","Gendreau_Interview.002.wav")|2017-01-01|wav|||||
001422 - 001491|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001422-001491)%20NM%20State%20Case%20Documents.pdf","(001422-001491) NM State Case Documents.pdf")|2017-01-01|pdf|||||
001574 - 001590|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001574-001590)%20Complaint%20&%20Judgement%20Decagon.pdf","(001574-001590) Complaint & Judgement Decagon.pdf")|2017-01-01|pdf|||||
001648 - 006223|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(001648-006223)%20Alamo%20Navajo%20WF%203283%20Combined.pdf","(001648-006223) Alamo Navajo WF 3283 Combined.pdf")|2017-01-01|pdf|||||
006224 - 006713|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(006224-006713)%20Alamo%20Navajo%20WF%207497%20Combined.pdf","(006224-006713) Alamo Navajo WF 7497 Combined.pdf")|2017-01-01|pdf|||||
006714 - 006785|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(006714-006785)%20Fashion%20Platform%20-%20HSBC.pdf","(006714-006785) Fashion Platform - HSBC.pdf")|2017-01-01|pdf|||||
006786 - 007335|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(006786-007335)%20Gallegos%20-%20US%20Bank%20Records.pdf","(006786-007335) Gallegos - US Bank Records.pdf")|2017-01-01|pdf|||||
007336 - 007729|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(007336-007729)%20HERRERA%20-%20Wells%20Fargo%20Combined.pdf","(007336-007729) HERRERA - Wells Fargo Combined.pdf")|2017-01-01|pdf|||||
007730 - 007736|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(007730-007736)%20Jacobs%20-%20Sampath%20Records.pdf","(007730-007736) Jacobs - Sampath Records.pdf")|2017-01-01|pdf|||||
007737 - 007758|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(007737-007758)%20Jacobs%20-%20TD%20Ameritride%20Documents.pdf","(007737-007758) Jacobs - TD Ameritride Documents.pdf")|2017-01-01|pdf|||||
007759 - 007973|=HYPERLINK("../RG%20Discovery/RG%20Discovery%2020170221/Gendreau%202017.02/To%20Produce%20to%20Gendreau%202017.02.21/(007759-007973)%20Jacobs%20-%20USAA%20Documents.pdf","(007759-007973) Jacobs - USAA Documents.pdf")|2017-01-01|pdf|||||
