Cell#,Cascade ID,Switch,NEID,Repoll#,Latitude,Longitude,BTS Manufacturer,Sector,Azimuth,CDR Status,,,,,,,,,,,,,,,
1,NY25XC558,NY-LI_CITY-MSC_2,158,232,40.659167,-73.891389,Lucent,1,50,Active,,,,,,,,,,,,,,,
1,NY25XC558,NY-LI_CITY-MSC_2,158,232,40.659167,-73.891389,Lucent,2,140,Active,,,,,,,,,,,,,,,
1,NY25XC558,NY-LI_CITY-MSC_2,158,232,40.659167,-73.891389,Lucent,3,245,Active,,,,,,,,,,,,,,,
2,NY15XC556,NY-LI_CITY-MSC_2,158,232,40.683889,-73.878055,Lucent,1,70,Active,,,,,,,,,,,,,,,
2,NY15XC556,NY-LI_CITY-MSC_2,158,232,40.683889,-73.878055,Lucent,2,200,Active,,,,,,,,,,,,,,,
2,NY15XC556,NY-LI_CITY-MSC_2,158,232,40.683889,-73.878055,Lucent,3,295,Active,,,,,,,,,,,,,,,
3,NY73XC804,NY-LI_CITY-MSC_2,158,232,40.7085,-73.776499,Lucent,1,0,Active,,,,,,,,,,,,,,,
3,NY73XC804,NY-LI_CITY-MSC_2,158,232,40.7085,-73.776499,Lucent,2,120,Active,,,,,,,,,,,,,,,
3,NY73XC804,NY-LI_CITY-MSC_2,158,232,40.7085,-73.776499,Lucent,3,240,Active,,,,,,,,,,,,,,,
4,NY73XC647,NY-LI_CITY-MSC_2,158,232,40.71496,-73.823689,Lucent,1,10,Active,,,,,,,,,,,,,,,
4,NY73XC647,NY-LI_CITY-MSC_2,158,232,40.71496,-73.823689,Lucent,2,120,Active,,,,,,,,,,,,,,,
4,NY73XC647,NY-LI_CITY-MSC_2,158,232,40.71496,-73.823689,Lucent,3,260,Active,,,,,,,,,,,,,,,
5,NY25XC593,NY-LI_CITY-MSC_2,158,232,40.744166,-73.860556,Lucent,1,40,Active,,,,,,,,,,,,,,,
5,NY25XC593,NY-LI_CITY-MSC_2,158,232,40.744166,-73.860556,Lucent,2,195,Active,,,,,,,,,,,,,,,
5,NY25XC593,NY-LI_CITY-MSC_2,158,232,40.744166,-73.860556,Lucent,3,300,Active,,,,,,,,,,,,,,,
6,NY70XC861,NY-LI_CITY-MSC_2,158,232,40.682499,-73.819999,Lucent,1,60,Active,,,,,,,,,,,,,,,
6,NY70XC861,NY-LI_CITY-MSC_2,158,232,40.682499,-73.819999,Lucent,2,165,Active,,,,,,,,,,,,,,,
6,NY70XC861,NY-LI_CITY-MSC_2,158,232,40.682499,-73.819999,Lucent,3,260,Active,,,,,,,,,,,,,,,
7,NY25XC583,NY-LI_CITY-MSC_2,158,232,40.7625,-73.770833,Lucent,1,315,Active,,,,,,,,,,,,,,,
7,NY25XC583,NY-LI_CITY-MSC_2,158,232,40.7625,-73.770833,Lucent,2,85,Active,,,,,,,,,,,,,,,
7,NY25XC583,NY-LI_CITY-MSC_2,158,232,40.7625,-73.770833,Lucent,3,190,Active,,,,,,,,,,,,,,,
8,NY73XC732,NY-LI_CITY-MSC_2,158,232,40.748333,-73.87861,Lucent,1,350,Active,,,,,,,,,,,,,,,
8,NY73XC732,NY-LI_CITY-MSC_2,158,232,40.748333,-73.87861,Lucent,2,90,Active,,,,,,,,,,,,,,,
8,NY73XC732,NY-LI_CITY-MSC_2,158,232,40.748333,-73.87861,Lucent,3,240,Active,,,,,,,,,,,,,,,
9,NY70XC858,NY-LI_CITY-MSC_2,158,232,40.684222,-73.858333,Lucent,1,10,Active,,,,,,,,,,,,,,,
9,NY70XC858,NY-LI_CITY-MSC_2,158,232,40.684222,-73.858333,Lucent,2,130,Active,,,,,,,,,,,,,,,
9,NY70XC858,NY-LI_CITY-MSC_2,158,232,40.684222,-73.858333,Lucent,3,240,Active,,,,,,,,,,,,,,,
10,NY73XC622,NY-LI_CITY-MSC_2,158,232,40.727777,-73.784722,Lucent,1,50,Active,,,,,,,,,,,,,,,
10,NY73XC622,NY-LI_CITY-MSC_2,158,232,40.727777,-73.784722,Lucent,2,160,Active,,,,,,,,,,,,,,,
10,NY73XC622,NY-LI_CITY-MSC_2,158,232,40.727777,-73.784722,Lucent,3,300,Active,,,,,,,,,,,,,,,
11,NY73XC511,NY-LI_CITY-MSC_2,158,232,40.72868,-73.735526,Lucent,1,20,Active,,,,,,,,,,,,,,,
11,NY73XC511,NY-LI_CITY-MSC_2,158,232,40.72868,-73.735526,Lucent,2,130,Active,,,,,,,,,,,,,,,
11,NY73XC511,NY-LI_CITY-MSC_2,158,232,40.72868,-73.735526,Lucent,3,260,Active,,,,,,,,,,,,,,,
12,NY54XC982,NY-LI_CITY-MSC_2,158,232,40.751389,-73.870277,Lucent,1,340,Active,,,,,,,,,,,,,,,
12,NY54XC982,NY-LI_CITY-MSC_2,158,232,40.751389,-73.870277,Lucent,2,110,Active,,,,,,,,,,,,,,,
12,NY54XC982,NY-LI_CITY-MSC_2,158,232,40.751389,-73.870277,Lucent,3,250,Active,,,,,,,,,,,,,,,
13,NY73XC514,NY-LI_CITY-MSC_2,158,232,40.677499,-73.745277,Lucent,1,25,Active,,,,,,,,,,,,,,,
13,NY73XC514,NY-LI_CITY-MSC_2,158,232,40.677499,-73.745277,Lucent,2,150,Active,,,,,,,,,,,,,,,
13,NY73XC514,NY-LI_CITY-MSC_2,158,232,40.677499,-73.745277,Lucent,3,270,Active,,,,,,,,,,,,,,,
14,NY25XC594,NY-LI_CITY-MSC_2,158,232,40.679166,-73.778055,Lucent,1,90,Active,,,,,,,,,,,,,,,
14,NY25XC594,NY-LI_CITY-MSC_2,158,232,40.679166,-73.778055,Lucent,2,200,Active,,,,,,,,,,,,,,,
14,NY25XC594,NY-LI_CITY-MSC_2,158,232,40.679166,-73.778055,Lucent,3,310,Active,,,,,,,,,,,,,,,
15,NY73XC596,NY-LI_CITY-MSC_2,158,232,40.669722,-73.881182,Lucent,1,0,Active,,,,,,,,,,,,,,,
15,NY73XC596,NY-LI_CITY-MSC_2,158,232,40.669722,-73.881182,Lucent,2,120,Active,,,,,,,,,,,,,,,
15,NY73XC596,NY-LI_CITY-MSC_2,158,232,40.669722,-73.881182,Lucent,3,240,Active,,,,,,,,,,,,,,,
16,NY73XC767,NY-LI_CITY-MSC_2,158,232,40.69364,-73.75381,Lucent,1,0,Active,,,,,,,,,,,,,,,
16,NY73XC767,NY-LI_CITY-MSC_2,158,232,40.69364,-73.75381,Lucent,2,120,Active,,,,,,,,,,,,,,,
16,NY73XC767,NY-LI_CITY-MSC_2,158,232,40.69364,-73.75381,Lucent,3,240,Active,,,,,,,,,,,,,,,
17,NY25XC575,NY-LI_CITY-MSC_2,158,232,40.715833,-73.771944,Lucent,1,340,Active,,,,,,,,,,,,,,,
17,NY25XC575,NY-LI_CITY-MSC_2,158,232,40.715833,-73.771944,Lucent,2,110,Active,,,,,,,,,,,,,,,
17,NY25XC575,NY-LI_CITY-MSC_2,158,232,40.715833,-73.771944,Lucent,3,275,Active,,,,,,,,,,,,,,,
18,NY54XC991,NY-LI_CITY-MSC_2,158,232,40.728888,-73.886666,Lucent,1,80,Active,,,,,,,,,,,,,,,
18,NY54XC991,NY-LI_CITY-MSC_2,158,232,40.728888,-73.886666,Lucent,2,160,Active,,,,,,,,,,,,,,,
18,NY54XC991,NY-LI_CITY-MSC_2,158,232,40.728888,-73.886666,Lucent,3,310,Active,,,,,,,,,,,,,,,
20,NY73XC571,NY-LI_CITY-MSC_2,158,232,40.765833,-73.745277,Lucent,1,10,Active,,,,,,,,,,,,,,,
20,NY73XC571,NY-LI_CITY-MSC_2,158,232,40.765833,-73.745277,Lucent,2,120,Active,,,,,,,,,,,,,,,
20,NY73XC571,NY-LI_CITY-MSC_2,158,232,40.765833,-73.745277,Lucent,3,215,Active,,,,,,,,,,,,,,,
21,NY27XC331,NY-LI_CITY-MSC_2,158,232,40.721644,-73.730258,Lucent,1,30,Active,,,,,,,,,,,,,,,
21,NY27XC331,NY-LI_CITY-MSC_2,158,232,40.721644,-73.730258,Lucent,2,150,Active,,,,,,,,,,,,,,,
21,NY27XC331,NY-LI_CITY-MSC_2,158,232,40.721644,-73.730258,Lucent,3,280,Active,,,,,,,,,,,,,,,
21,NY27XC331,NY-LI_CITY-MSC_2,158,232,40.721633,-73.73054,Lucent,1,30,Active,,,,,,,,,,,,,,,
21,NY27XC331,NY-LI_CITY-MSC_2,158,232,40.721633,-73.73054,Lucent,2,150,Active,,,,,,,,,,,,,,,
21,NY27XC331,NY-LI_CITY-MSC_2,158,232,40.721633,-73.73054,Lucent,3,280,Active,,,,,,,,,,,,,,,
22,NY25XC600,NY-LI_CITY-MSC_2,158,232,40.759167,-73.817499,Lucent,1,0,Active,,,,,,,,,,,,,,,
22,NY25XC600,NY-LI_CITY-MSC_2,158,232,40.759167,-73.817499,Lucent,2,115,Active,,,,,,,,,,,,,,,
22,NY25XC600,NY-LI_CITY-MSC_2,158,232,40.759167,-73.817499,Lucent,3,205,Active,,,,,,,,,,,,,,,
23,NY25XC596,NY-LI_CITY-MSC_2,158,232,40.657855,-73.769565,Lucent,1,0,Active,,,,,,,,,,,,,,,
23,NY25XC596,NY-LI_CITY-MSC_2,158,232,40.657855,-73.769565,Lucent,2,120,Active,,,,,,,,,,,,,,,
23,NY25XC596,NY-LI_CITY-MSC_2,158,232,40.657855,-73.769565,Lucent,3,225,Active,,,,,,,,,,,,,,,
24,NY25XC674,NY-LI_CITY-MSC_2,158,232,40.737777,-73.885,Lucent,1,10,Active,,,,,,,,,,,,,,,
24,NY25XC674,NY-LI_CITY-MSC_2,158,232,40.737777,-73.885,Lucent,2,170,Active,,,,,,,,,,,,,,,
24,NY25XC674,NY-LI_CITY-MSC_2,158,232,40.737777,-73.885,Lucent,3,270,Active,,,,,,,,,,,,,,,
25,NY25XC300,NY-LI_CITY-MSC_2,158,232,40.784111,-73.825706,Lucent,1,5,Active,,,,,,,,,,,,,,,
25,NY25XC300,NY-LI_CITY-MSC_2,158,232,40.784111,-73.825706,Lucent,2,165,Active,,,,,,,,,,,,,,,
25,NY25XC300,NY-LI_CITY-MSC_2,158,232,40.784111,-73.825706,Lucent,3,265,Active,,,,,,,,,,,,,,,
26,NY25XC597,NY-LI_CITY-MSC_2,158,232,40.679166,-73.839444,Lucent,1,0,Active,,,,,,,,,,,,,,,
26,NY25XC597,NY-LI_CITY-MSC_2,158,232,40.679166,-73.839444,Lucent,2,135,Active,,,,,,,,,,,,,,,
26,NY25XC597,NY-LI_CITY-MSC_2,158,232,40.679166,-73.839444,Lucent,3,245,Active,,,,,,,,,,,,,,,
27,NY73XC513,NY-LI_CITY-MSC_2,158,232,40.681916,-73.848,Lucent,1,10,Active,,,,,,,,,,,,,,,
27,NY73XC513,NY-LI_CITY-MSC_2,158,232,40.681916,-73.848,Lucent,2,120,Active,,,,,,,,,,,,,,,
27,NY73XC513,NY-LI_CITY-MSC_2,158,232,40.681916,-73.848,Lucent,3,220,Active,,,,,,,,,,,,,,,
28,NY73XC629,NY-LI_CITY-MSC_2,158,232,40.684555,-73.784694,Lucent,1,10,Active,,,,,,,,,,,,,,,
28,NY73XC629,NY-LI_CITY-MSC_2,158,232,40.684555,-73.784694,Lucent,2,130,Active,,,,,,,,,,,,,,,
28,NY73XC629,NY-LI_CITY-MSC_2,158,232,40.684555,-73.784694,Lucent,3,250,Active,,,,,,,,,,,,,,,
29,NY54XC998,NY-LI_CITY-MSC_2,158,232,40.770833,-73.834722,Lucent,1,45,Active,,,,,,,,,,,,,,,
29,NY54XC998,NY-LI_CITY-MSC_2,158,232,40.770833,-73.834722,Lucent,2,180,Active,,,,,,,,,,,,,,,
29,NY54XC998,NY-LI_CITY-MSC_2,158,232,40.770833,-73.834722,Lucent,3,320,Active,,,,,,,,,,,,,,,
30,NY25XC675,NY-LI_CITY-MSC_2,158,232,40.753056,-73.885277,Lucent,1,340,Active,,,,,,,,,,,,,,,
30,NY25XC675,NY-LI_CITY-MSC_2,158,232,40.753056,-73.885277,Lucent,2,110,Active,,,,,,,,,,,,,,,
30,NY25XC675,NY-LI_CITY-MSC_2,158,232,40.753056,-73.885277,Lucent,3,210,Active,,,,,,,,,,,,,,,
31,NY05XC505,NY-LI_CITY-MSC_2,158,232,40.666666,-73.859167,Lucent,1,40,Active,,,,,,,,,,,,,,,
31,NY05XC505,NY-LI_CITY-MSC_2,158,232,40.666666,-73.859167,Lucent,2,145,Active,,,,,,,,,,,,,,,
31,NY05XC505,NY-LI_CITY-MSC_2,158,232,40.666666,-73.859167,Lucent,3,235,Active,,,,,,,,,,,,,,,
32,NY54XC900,NY-LI_CITY-MSC_2,158,232,40.781388,-73.805278,Lucent,1,60,Active,,,,,,,,,,,,,,,
