Cell#,Cascade ID,Switch,NEID,Repoll#,Latitude,Longitude,BTS Manufacturer,Sector,Azimuth,CDR Status,,,,,,,,,,,,,,,
1,NY54XC899,NY-TETERBORO 2,84,504,40.686556,-74.182747,Lucent,1,0,Active,,,,,,,,,,,,,,,
1,NY54XC899,NY-TETERBORO 2,84,504,40.690092,-74.176058,Lucent,2,0,Active,,,,,,,,,,,,,,,
1,NY54XC899,NY-TETERBORO 2,84,504,40.696758,-74.175958,Lucent,3,0,Active,,,,,,,,,,,,,,,
2,NY34XC800,NY-TETERBORO 2,84,504,40.766944,-74.019722,Lucent,1,120,Active,,,,,,,,,,,,,,,
3,NY73XC105,NY-TETERBORO 2,84,504,40.699006,-74.1872,Lucent,1,30,Active,,,,,,,,,,,,,,,
3,NY73XC105,NY-TETERBORO 2,84,504,40.699006,-74.1872,Lucent,2,150,Active,,,,,,,,,,,,,,,
3,NY73XC105,NY-TETERBORO 2,84,504,40.699006,-74.1872,Lucent,3,290,Active,,,,,,,,,,,,,,,
4,NY34XC803,NY-TETERBORO 2,84,504,40.729166,-74.031666,Lucent,2,105,Active,,,,,,,,,,,,,,,
5,NY73XC102,NY-TETERBORO 2,84,504,40.7004,-74.132889,Lucent,1,0,Active,,,,,,,,,,,,,,,
5,NY73XC102,NY-TETERBORO 2,84,504,40.7004,-74.132889,Lucent,2,200,Active,,,,,,,,,,,,,,,
5,NY73XC102,NY-TETERBORO 2,84,504,40.7004,-74.132889,Lucent,3,270,Active,,,,,,,,,,,,,,,
6,NY81XC206,NY-TETERBORO 2,84,504,40.659858,-74.176339,Lucent,1,75,Active,,,,,,,,,,,,,,,
6,NY81XC206,NY-TETERBORO 2,84,504,40.659858,-74.176339,Lucent,2,220,Active,,,,,,,,,,,,,,,
6,NY81XC206,NY-TETERBORO 2,84,504,40.659858,-74.176339,Lucent,3,320,Active,,,,,,,,,,,,,,,
7,NY73XC124,NY-TETERBORO 2,84,504,40.648225,-74.187199,Lucent,1,45,Active,,,,,,,,,,,,,,,
7,NY73XC124,NY-TETERBORO 2,84,504,40.648225,-74.187199,Lucent,2,170,Active,,,,,,,,,,,,,,,
7,NY73XC124,NY-TETERBORO 2,84,504,40.648225,-74.187199,Lucent,3,275,Active,,,,,,,,,,,,,,,
9,NY23XC270,NY-TETERBORO 2,84,504,40.709444,-74.176944,Lucent,1,40,Active,,,,,,,,,,,,,,,
9,NY23XC270,NY-TETERBORO 2,84,504,40.709444,-74.176944,Lucent,2,180,Active,,,,,,,,,,,,,,,
9,NY23XC270,NY-TETERBORO 2,84,504,40.709444,-74.176944,Lucent,3,282,Active,,,,,,,,,,,,,,,
17,NY81XB200,NY-TETERBORO 2,84,504,40.558841,-74.154986,Lucent,1,0,Active,,,,,,,,,,,,,,,
17,NY81XB200,NY-TETERBORO 2,84,504,40.560254,-74.124854,Lucent,2,0,Active,,,,,,,,,,,,,,,
17,NY81XB200,NY-TETERBORO 2,84,504,40.560189,-74.10764,Lucent,3,0,Active,,,,,,,,,,,,,,,
17,NY81XB200,NY-TETERBORO 2,84,504,40.557629,-74.13539,Lucent,4,0,Active,,,,,,,,,,,,,,,
17,NY81XB200,NY-TETERBORO 2,84,504,40.55018,-74.137225,Lucent,5,0,Active,,,,,,,,,,,,,,,
17,NY81XB200,NY-TETERBORO 2,84,504,40.559232,-74.154692,Lucent,6,0,Active,,,,,,,,,,,,,,,
18,NY81XB200,NY-TETERBORO 2,84,504,40.557629,-74.13539,Lucent,1,0,Nonactive,,,,,,,,,,,,,,,
18,NY81XB200,NY-TETERBORO 2,84,504,40.55018,-74.137225,Lucent,2,0,Nonactive,,,,,,,,,,,,,,,
18,NY81XB200,NY-TETERBORO 2,84,504,40.559232,-74.154692,Lucent,3,0,Nonactive,,,,,,,,,,,,,,,
24,NY54XC387,NY-TETERBORO 2,84,504,40.722835,-74.310422,Lucent,1,90,Active,,,,,,,,,,,,,,,
24,NY54XC387,NY-TETERBORO 2,84,504,40.722835,-74.310422,Lucent,2,230,Active,,,,,,,,,,,,,,,
