Market SID,Switch Number,Switch Name,Cell Number,E-911 Latitude Degrees (NAD83),E-911 Longitude Degrees (NAD83),Street Address,City,State,Zip Code,Sector,Technology,Azimuth (deg),,,
,,,201,35.333392,-82.447919,1602 Four Seasons Blvd,Hendersonville,NC,28792,D1,Digital,60,,,
,,,201,35.333392,-82.447919,1602 Four Seasons Blvd,Hendersonville,NC,28792,D2,Digital,180,,,
,,,201,35.333392,-82.447919,1602 Four Seasons Blvd,Hendersonville,NC,28792,D3,Digital,300,,,
,,,580,35.707411,-81.305653,1855 US Highway 70 SE,Hickory,NC,28602,D1,Digital,0,,,
,,,580,35.707411,-81.305653,1855 US Highway 70 SE,Hickory,NC,28602,D2,Digital,180,,,
,,,580,35.707411,-81.305653,1855 US Highway 70 SE,Hickory,NC,28602,D3,Digital,240,,,
,,,588,35.320089,-82.467067,800 North Justice Street,HENDERSONVILLE,NC,28791,D1,Digital,0,,,
,,,588,35.320089,-82.467067,800 North Justice Street,HENDERSONVILLE,NC,28791,D2,Digital,270,,,
,,,600,35.568168,-82.550958,527 McDowell St.,Asheville,NC,28801,D1,Digital,30,,,
139,107,ASH MTX,600,35.568168,-82.550958,527 McDowell St.,Asheville,NC,28801,D1,Digital,30,,,
,,,600,35.568168,-82.550958,527 McDowell St.,Asheville,NC,28801,D2,Digital,150,,,
139,107,ASH MTX,600,35.568168,-82.550958,527 McDowell St.,Asheville,NC,28801,D2,Digital,150,,,
,,,600,35.568168,-82.550958,527 McDowell St.,Asheville,NC,28801,D3,Digital,270,,,
139,107,ASH MTX,600,35.568168,-82.550958,527 McDowell St.,Asheville,NC,28801,D3,Digital,270,,,
,,,601,35.573447,-82.38512,36 APPLE FOREST LANE,FAIRVIEW,NC,28730,D1,Digital,0,,,
139,107,ASH MTX,601,35.573447,-82.38512,36 APPLE FOREST LANE,FAIRVIEW,NC,28730,D1,Digital,0,,,
,,,601,35.573447,-82.38512,36 APPLE FOREST LANE,FAIRVIEW,NC,28730,D2,Digital,120,,,
139,107,ASH MTX,601,35.573447,-82.38512,36 APPLE FOREST LANE,FAIRVIEW,NC,28730,D2,Digital,120,,,
,,,601,35.573447,-82.38512,36 APPLE FOREST LANE,FAIRVIEW,NC,28730,D3,Digital,240,,,
139,107,ASH MTX,601,35.573447,-82.38512,36 APPLE FOREST LANE,FAIRVIEW,NC,28730,D3,Digital,240,,,
,,,602,35.622617,-82.338173,299 MOUNT ALLEN HEIGHTS,BLACK MOUNTAIN,NC,28711,D1,Digital,100,,,
139,107,ASH MTX,602,35.622617,-82.338173,299 MOUNT ALLEN HEIGHTS,BLACK MOUNTAIN,NC,28711,D1,Digital,100,,,
,,,602,35.622617,-82.338173,299 MOUNT ALLEN HEIGHTS,BLACK MOUNTAIN,NC,28711,D2,Digital,220,,,
139,107,ASH MTX,602,35.622617,-82.338173,299 MOUNT ALLEN HEIGHTS,BLACK MOUNTAIN,NC,28711,D2,Digital,220,,,
,,,602,35.622617,-82.338173,299 MOUNT ALLEN HEIGHTS,BLACK MOUNTAIN,NC,28711,D3,Digital,340,,,
139,107,ASH MTX,602,35.622617,-82.338173,299 MOUNT ALLEN HEIGHTS,BLACK MOUNTAIN,NC,28711,D3,Digital,340,,,
,,,603,35.592889,-82.564568,333 WEST HAYWOOD ST,ASHEVILLE,NC,28803,D1,Digital,5,,,
139,107,ASH MTX,603,35.592889,-82.564568,333 WEST HAYWOOD ST,ASHEVILLE,NC,28803,D1,Digital,5,,,
,,,603,35.592889,-82.564568,333 WEST HAYWOOD ST,ASHEVILLE,NC,28803,D2,Digital,145,,,
139,107,ASH MTX,603,35.592889,-82.564568,333 WEST HAYWOOD ST,ASHEVILLE,NC,28803,D2,Digital,145,,,
,,,603,35.592889,-82.564568,333 WEST HAYWOOD ST,ASHEVILLE,NC,28803,D3,Digital,245,,,
139,107,ASH MTX,603,35.592889,-82.564568,333 WEST HAYWOOD ST,ASHEVILLE,NC,28803,D3,Digital,245,,,
,,,604,35.664869,-82.501711,798 ELK MOUNTAIN SCENIC HWY,ASHEVILLE,NC,28804,D1,Digital,30,,,
139,107,ASH MTX,604,35.664869,-82.501711,798 ELK MOUNTAIN SCENIC HWY,ASHEVILLE,NC,28804,D1,Digital,30,,,
,,,604,35.664869,-82.501711,798 ELK MOUNTAIN SCENIC HWY,ASHEVILLE,NC,28804,D2,Digital,150,,,
