Cell#,Cascade ID,Switch,NEID,Repoll#,Latitude,Longitude,BTS Manufacturer,Sector,Azimuth,CDR Status,,,,,,,,,,,,,,,
1,NY73XC244,NY-BRANCHBURG 1,106,425,39.756867,-74.10828,Lucent,1,30,Active,,,,,,,,,,,,,,,
1,NY73XC244,NY-BRANCHBURG 1,106,425,39.756867,-74.10828,Lucent,2,200,Active,,,,,,,,,,,,,,,
1,NY73XC244,NY-BRANCHBURG 1,106,425,39.756867,-74.10828,Lucent,3,290,Active,,,,,,,,,,,,,,,
2,NY33XC997,NY-BRANCHBURG 1,106,425,40.598055,-74.875555,Lucent,1,0,Active,,,,,,,,,,,,,,,
2,NY33XC997,NY-BRANCHBURG 1,106,425,40.598055,-74.875555,Lucent,2,150,Active,,,,,,,,,,,,,,,
2,NY33XC997,NY-BRANCHBURG 1,106,425,40.598055,-74.875555,Lucent,3,225,Active,,,,,,,,,,,,,,,
3,NY23XC994,NY-BRANCHBURG 1,106,425,39.650278,-74.176944,Lucent,1,35,Active,,,,,,,,,,,,,,,
3,NY23XC994,NY-BRANCHBURG 1,106,425,39.650278,-74.176944,Lucent,2,205,Active,,,,,,,,,,,,,,,
3,NY23XC994,NY-BRANCHBURG 1,106,425,39.650278,-74.176944,Lucent,3,304,Active,,,,,,,,,,,,,,,
4,NY33XC344,NY-BRANCHBURG 1,106,425,39.578888,-74.228888,Lucent,1,30,Active,,,,,,,,,,,,,,,
4,NY33XC344,NY-BRANCHBURG 1,106,425,39.578888,-74.228888,Lucent,2,205,Active,,,,,,,,,,,,,,,
4,NY33XC344,NY-BRANCHBURG 1,106,425,39.578888,-74.228888,Lucent,3,300,Active,,,,,,,,,,,,,,,
5,NY33XC343,NY-BRANCHBURG 1,106,425,39.693055,-74.141944,Lucent,1,28,Active,,,,,,,,,,,,,,,
5,NY33XC343,NY-BRANCHBURG 1,106,425,39.693055,-74.141944,Lucent,2,210,Active,,,,,,,,,,,,,,,
5,NY33XC343,NY-BRANCHBURG 1,106,425,39.693055,-74.141944,Lucent,3,302,Active,,,,,,,,,,,,,,,
6,NY03XC117,NY-BRANCHBURG 1,106,425,39.678055,-74.236111,Lucent,1,62,Active,,,,,,,,,,,,,,,
6,NY03XC117,NY-BRANCHBURG 1,106,425,39.678055,-74.236111,Lucent,2,185,Active,,,,,,,,,,,,,,,
6,NY03XC117,NY-BRANCHBURG 1,106,425,39.678055,-74.236111,Lucent,3,303,Active,,,,,,,,,,,,,,,
7,NY33XC965,NY-BRANCHBURG 1,106,425,40.619777,-74.757306,Lucent,1,90,Active,,,,,,,,,,,,,,,
7,NY33XC965,NY-BRANCHBURG 1,106,425,40.619777,-74.757306,Lucent,2,210,Active,,,,,,,,,,,,,,,
7,NY33XC965,NY-BRANCHBURG 1,106,425,40.619777,-74.757306,Lucent,3,330,Active,,,,,,,,,,,,,,,
8,NY33XC964,NY-BRANCHBURG 1,106,425,40.606611,-74.702278,Lucent,1,80,Active,,,,,,,,,,,,,,,
8,NY33XC964,NY-BRANCHBURG 1,106,425,40.606611,-74.702278,Lucent,2,200,Active,,,,,,,,,,,,,,,
8,NY33XC964,NY-BRANCHBURG 1,106,425,40.606611,-74.702278,Lucent,3,320,Active,,,,,,,,,,,,,,,
9,NY23XC298,NY-BRANCHBURG 1,106,425,40.087222,-74.215556,Lucent,1,40,Active,,,,,,,,,,,,,,,
9,NY23XC298,NY-BRANCHBURG 1,106,425,40.087222,-74.215556,Lucent,2,155,Active,,,,,,,,,,,,,,,
9,NY23XC298,NY-BRANCHBURG 1,106,425,40.087222,-74.215556,Lucent,3,295,Active,,,,,,,,,,,,,,,
10,NY23XC556,NY-BRANCHBURG 1,106,425,40.10905,-74.221799,Lucent,1,30,Active,,,,,,,,,,,,,,,
10,NY23XC556,NY-BRANCHBURG 1,106,425,40.10905,-74.221799,Lucent,2,150,Active,,,,,,,,,,,,,,,
10,NY23XC556,NY-BRANCHBURG 1,106,425,40.10905,-74.221799,Lucent,3,265,Active,,,,,,,,,,,,,,,
11,NY03XC034,NY-BRANCHBURG 1,106,425,40.667335,-74.417752,Lucent,1,58,Active,,,,,,,,,,,,,,,
11,NY03XC034,NY-BRANCHBURG 1,106,425,40.667335,-74.417752,Lucent,2,0,Active,,,,,,,,,,,,,,,
11,NY03XC034,NY-BRANCHBURG 1,106,425,40.667335,-74.417752,Lucent,3,245,Active,,,,,,,,,,,,,,,
12,NY54XC489,NY-BRANCHBURG 1,106,425,40.394222,-74.844469,Lucent,1,315,Active,,,,,,,,,,,,,,,
12,NY54XC489,NY-BRANCHBURG 1,106,425,40.394222,-74.844469,Lucent,2,105,Active,,,,,,,,,,,,,,,
12,NY54XC489,NY-BRANCHBURG 1,106,425,40.394222,-74.844469,Lucent,3,195,Active,,,,,,,,,,,,,,,
13,NY54XC490,NY-BRANCHBURG 1,106,425,40.381855,-74.811061,Lucent,1,40,Active,,,,,,,,,,,,,,,
13,NY54XC490,NY-BRANCHBURG 1,106,425,40.381855,-74.811061,Lucent,2,150,Active,,,,,,,,,,,,,,,
13,NY54XC490,NY-BRANCHBURG 1,106,425,40.381855,-74.811061,Lucent,3,270,Active,,,,,,,,,,,,,,,
14,NY54XC644,NY-BRANCHBURG 1,106,425,40.621388,-75.131666,Lucent,1,85,Active,,,,,,,,,,,,,,,
14,NY54XC644,NY-BRANCHBURG 1,106,425,40.621388,-75.131666,Lucent,3,250,Active,,,,,,,,,,,,,,,
15,NY33XC064,NY-BRANCHBURG 1,106,425,40.639166,-74.890555,Lucent,1,70,Active,,,,,,,,,,,,,,,
15,NY33XC064,NY-BRANCHBURG 1,106,425,40.639166,-74.890555,Lucent,2,175,Active,,,,,,,,,,,,,,,
15,NY33XC064,NY-BRANCHBURG 1,106,425,40.639166,-74.890555,Lucent,3,280,Active,,,,,,,,,,,,,,,
16,NY03XC114,NY-BRANCHBURG 1,106,425,39.715278,-74.291389,Lucent,1,45,Active,,,,,,,,,,,,,,,
16,NY03XC114,NY-BRANCHBURG 1,106,425,39.715278,-74.291389,Lucent,2,185,Active,,,,,,,,,,,,,,,
16,NY03XC114,NY-BRANCHBURG 1,106,425,39.715278,-74.291389,Lucent,3,265,Active,,,,,,,,,,,,,,,
17,NY03XC113,NY-BRANCHBURG 1,106,425,39.751667,-74.260555,Lucent,1,85,Active,,,,,,,,,,,,,,,
17,NY03XC113,NY-BRANCHBURG 1,106,425,39.751667,-74.260555,Lucent,2,205,Active,,,,,,,,,,,,,,,
17,NY03XC113,NY-BRANCHBURG 1,106,425,39.751667,-74.260555,Lucent,3,285,Active,,,,,,,,,,,,,,,
18,NY54XC666,NY-BRANCHBURG 1,106,425,40.724177,-75.14698,Lucent,1,15,Active,,,,,,,,,,,,,,,
18,NY54XC666,NY-BRANCHBURG 1,106,425,40.724177,-75.14698,Lucent,2,190,Active,,,,,,,,,,,,,,,
18,NY54XC666,NY-BRANCHBURG 1,106,425,40.724177,-75.14698,Lucent,3,260,Active,,,,,,,,,,,,,,,
19,NY03XC109,NY-BRANCHBURG 1,106,425,40.139166,-74.224166,Lucent,1,65,Active,,,,,,,,,,,,,,,
19,NY03XC109,NY-BRANCHBURG 1,106,425,40.139166,-74.224166,Lucent,2,205,Active,,,,,,,,,,,,,,,
19,NY03XC109,NY-BRANCHBURG 1,106,425,40.139166,-74.224166,Lucent,3,285,Active,,,,,,,,,,,,,,,
20,NY03XC195,NY-BRANCHBURG 1,106,425,39.826944,-74.202222,Lucent,1,45,Active,,,,,,,,,,,,,,,
20,NY03XC195,NY-BRANCHBURG 1,106,425,39.826944,-74.202222,Lucent,2,165,Active,,,,,,,,,,,,,,,
20,NY03XC195,NY-BRANCHBURG 1,106,425,39.826944,-74.202222,Lucent,3,285,Active,,,,,,,,,,,,,,,
21,NY03XC180,NY-BRANCHBURG 1,106,425,40.695555,-74.424166,Lucent,1,65,Nonactive,,,,,,,,,,,,,,,
21,NY03XC180,NY-BRANCHBURG 1,106,425,40.695555,-74.424166,Lucent,2,145,Nonactive,,,,,,,,,,,,,,,
21,NY03XC180,NY-BRANCHBURG 1,106,425,40.695555,-74.424166,Lucent,3,305,Nonactive,,,,,,,,,,,,,,,
22,NY03XC244,NY-BRANCHBURG 1,106,425,40.771666,-74.617777,Lucent,1,45,Active,,,,,,,,,,,,,,,
22,NY03XC244,NY-BRANCHBURG 1,106,425,40.771666,-74.617777,Lucent,2,165,Active,,,,,,,,,,,,,,,
22,NY03XC244,NY-BRANCHBURG 1,106,425,40.771666,-74.617777,Lucent,3,285,Active,,,,,,,,,,,,,,,
23,NY03XC194,NY-BRANCHBURG 1,106,425,39.865,-74.203889,Lucent,1,88,Active,,,,,,,,,,,,,,,
23,NY03XC194,NY-BRANCHBURG 1,106,425,39.865,-74.203889,Lucent,2,205,Active,,,,,,,,,,,,,,,
23,NY03XC194,NY-BRANCHBURG 1,106,425,39.865,-74.203889,Lucent,3,288,Active,,,,,,,,,,,,,,,
24,NY13XC223,NY-BRANCHBURG 1,106,425,40.37532,-74.94222,Lucent,1,45,Active,,,,,,,,,,,,,,,
24,NY13XC223,NY-BRANCHBURG 1,106,425,40.37532,-74.94222,Lucent,2,165,Active,,,,,,,,,,,,,,,
24,NY13XC223,NY-BRANCHBURG 1,106,425,40.37532,-74.94222,Lucent,3,285,Active,,,,,,,,,,,,,,,
25,NY13XC225,NY-BRANCHBURG 1,106,425,40.544444,-74.856667,Lucent,1,45,Active,,,,,,,,,,,,,,,
25,NY13XC225,NY-BRANCHBURG 1,106,425,40.544444,-74.856667,Lucent,2,165,Active,,,,,,,,,,,,,,,
25,NY13XC225,NY-BRANCHBURG 1,106,425,40.544444,-74.856667,Lucent,3,285,Active,,,,,,,,,,,,,,,
