Market SID,Switch Number,Switch Name,Cell Number,E-911 Latitude Degrees (NAD83),E-911 Longitude Degrees (NAD83),Street Address,City,State,Zip Code,Sector,Technology,Azimuth (deg),,,
,,,1,41.086586,-73.985272,228 Town Line rd,West Nyack,NY,10994,D1,Digital,102,,,
22,2,WNYK,1,41.086586,-73.985272,228 Town Line rd,West Nyack,NY,10994,D1,Digital,102,,,
,,,1,41.086586,-73.985272,228 Town Line rd,West Nyack,NY,10994,D2,Digital,222,,,
22,2,WNYK,1,41.086586,-73.985272,228 Town Line rd,West Nyack,NY,10994,D2,Digital,222,,,
,,,1,41.086586,-73.985272,228 Town Line rd,West Nyack,NY,10994,D3,Digital,342,,,
22,2,WNYK,1,41.086586,-73.985272,228 Town Line rd,West Nyack,NY,10994,D3,Digital,342,,,
22,2,WNYK,2,41.13515,-73.860278,Scarborough Road & Route 9,Briarcliff Manor,NY,10510,D1,Digital,90,,,
22,2,WNYK,2,41.13515,-73.860278,Scarborough Road & Route 9,Briarcliff Manor,NY,10510,D2,Digital,170,,,
22,2,WNYK,2,41.13515,-73.860278,Scarborough Road & Route 9,Briarcliff Manor,NY,10510,D3,Digital,10,,,
,,,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D1,Digital,90,,,
,,,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D1,Digital,0,,,
22,2,WNYK,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D1,Digital,90,,,
,,,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D2,Digital,240,,,
,,,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D2,Digital,0,,,
22,2,WNYK,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D2,Digital,240,,,
,,,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D3,Digital,0,,,
22,2,WNYK,3,41.228639,-73.901889,21-51 scenic drive,Cortlandt,NY,10520,D3,Digital,0,,,
,,,4,41.160722,-74.08875,94 Lime Kiln Road,Suffern,NY,10901,D1,Digital,102,,,
22,2,WNYK,4,41.160722,-74.08875,94 Lime Kiln Road,Suffern,NY,10901,D1,Digital,102,,,
,,,4,41.160722,-74.08875,94 Lime Kiln Road,Suffern,NY,10901,D2,Digital,222,,,
22,2,WNYK,4,41.160722,-74.08875,94 Lime Kiln Road,Suffern,NY,10901,D2,Digital,222,,,
,,,4,41.160722,-74.08875,94 Lime Kiln Road,Suffern,NY,10901,D3,Digital,342,,,
22,2,WNYK,4,41.160722,-74.08875,94 Lime Kiln Road,Suffern,NY,10901,D3,Digital,342,,,
,,,6,41.021389,-73.874444,555 Broadway,Dobbs Ferry,NY,10522,D1,Digital,0,,,
22,2,WNYK,6,41.021389,-73.874444,555 Broadway,Dobbs Ferry,NY,10522,D1,Digital,0,,,
,,,7,41.260924,-73.962917,Con Ed Tower,Buchanan,NY,10511,D1,Digital,85,,,
22,2,WNYK,7,41.260924,-73.962917,Con Ed Tower,Buchanan,NY,10511,D1,Digital,85,,,
,,,7,41.260924,-73.962917,Con Ed Tower,Buchanan,NY,10511,D2,Digital,230,,,
22,2,WNYK,7,41.260924,-73.962917,Con Ed Tower,Buchanan,NY,10511,D2,Digital,230,,,
,,,7,41.260924,-73.962917,Con Ed Tower,Buchanan,NY,10511,D3,Digital,345,,,
22,2,WNYK,7,41.260924,-73.962917,Con Ed Tower,Buchanan,NY,10511,D3,Digital,345,,,
,,,8,41.005278,-73.673889,411 Westchester Ave,Port Chester,NY,10573,D1,Digital,122,,,
22,2,WNYK,8,41.005278,-73.673889,411 Westchester Ave,Port Chester,NY,10573,D1,Digital,122,,,
,,,8,41.005278,-73.673889,411 Westchester Ave,Port Chester,NY,10573,D2,Digital,280,,,
22,2,WNYK,8,41.005278,-73.673889,411 Westchester Ave,Port Chester,NY,10573,D2,Digital,280,,,
,,,8,41.005278,-73.673889,411 Westchester Ave,Port Chester,NY,10573,D3,Digital,340,,,
22,2,WNYK,8,41.005278,-73.673889,411 Westchester Ave,Port Chester,NY,10573,D3,Digital,340,,,
,,,9,40.995656,-73.674711,330-340 s. regent st,Port Chester,NY,10573,D1,Digital,71,,,
22,2,WNYK,9,40.995656,-73.674711,330-340 s. regent st,Port Chester,NY,10573,D1,Digital,71,,,
,,,9,40.995656,-73.674711,330-340 s. regent st,Port Chester,NY,10573,D2,Digital,192,,,
22,2,WNYK,9,40.995656,-73.674711,330-340 s. regent st,Port Chester,NY,10573,D2,Digital,192,,,
,,,9,40.995656,-73.674711,330-340 s. regent st,Port Chester,NY,10573,D3,Digital,304,,,
22,2,WNYK,9,40.995656,-73.674711,330-340 s. regent st,Port Chester,NY,10573,D3,Digital,304,,,
