Market SID,Switch Number,Switch Name,Cell Number,E-911 Latitude Degrees (NAD83),E-911 Longitude Degrees (NAD83),Street Address,City,State,Zip Code,Sector,Technology,Azimuth (deg),,,
,,,1,40.86715,-74.150117,220 Clifton Blvd,Clifton,NJ,7011,D1,Digital,120,,,
,,,1,40.86715,-74.150117,220 Clifton Blvd,Clifton,NJ,7011,D2,Digital,255,,,
,,,1,40.86715,-74.150117,220 Clifton Blvd,Clifton,NJ,7011,D3,Digital,5,,,
,,,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D1,Digital,50,,,
22,1,JCY1,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D1,Digital,50,,,
,,,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D2,Digital,150,,,
22,1,JCY1,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D2,Digital,150,,,
,,,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D3,Digital,290,,,
,,,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D3,Digital,300,,,
22,1,JCY1,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,D3,Digital,300,,,
,,,2,40.923781,-74.030847,Columbia St,New Milford,NJ,7646,S3,Digital,290,,,
,,,3,41.00853,-73.9723,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,D1,Digital,102,,,
22,1,JCY1,3,41.00853,-73.9723,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,D1,Digital,102,,,
,,,3,41.00853,-73.9723,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,D2,Digital,222,,,
22,1,JCY1,3,41.00853,-73.9723,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,D2,Digital,222,,,
,,,3,41.00853,-73.9723,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,D3,Digital,342,,,
22,1,JCY1,3,41.00853,-73.9723,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,D3,Digital,342,,,
,,,3,41.008722,-73.971972,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,S1,Digital,102,,,
,,,3,41.008722,-73.971972,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,S2,Digital,222,,,
,,,3,41.008722,-73.971972,"Central Ave Old Tappan, NJ 07675?",Westwood,NJ,7675,S3,Digital,342,,,
,,,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,D1,Digital,100,,,
22,1,JCY1,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,D1,Digital,100,,,
,,,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,D2,Digital,185,,,
22,1,JCY1,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,D2,Digital,185,,,
,,,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,D3,Digital,25,,,
22,1,JCY1,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,D3,Digital,25,,,
,,,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,S1,Digital,100,,,
,,,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,S2,Digital,185,,,
,,,4,41.0141,-74.068664,,Woodcliff Lake,NJ,7677,S3,Digital,185,,,
,,,5,40.950694,-74.103028,20-05 Saddle River Rd,Fair Lawn,NJ,7410,D1,Digital,70,,,
,,,5,40.950694,-74.103028,20-05 Saddle River Rd,Fair Lawn,NJ,7410,D1,Digital,90,,,
22,1,JCY1,5,40.950694,-74.103028,20-05 Saddle River Rd,Fair Lawn,NJ,7410,D1,Digital,90,,,
,,,5,40.950694,-74.103028,20-05 Saddle River Rd,Fair Lawn,NJ,7410,D2,Digital,190,,,
